openmlid,seed,rf_oob,rf_test,lda_oob,lda_test,pca_oob,pca_test,choice,best_choice_oob,best_choice_test,gap,imp,traintime_rf_act,traintime_lda_act,traintime_pca_act,traintime_rf_max,traintime_lda_max,traintime_pca_max,trees_rf,trees_lda,trees_pca,selfopt_oob,selfopt_test,gap_oob,gap_test,imp_oob,imp_test,traintime_total_act,traintime_total_max,time_compression,tree_compression
11,10,0.823,0.8496,0.9083,0.8928,0.9108,0.8889,lda,pca,lda,0.0,0.043,2.0757000000000003,2.0980000000000003,3.630600000000001,3.9044,6.268399999999999,12.740800000000005,51,33,29,0.9083,0.8928,0.0025000000000000577,0.0,0.08530000000000004,0.043200000000000016,7.804300000000001,22.913600000000002,0.34059685077857693,0.37666666666666665
11,11,0.8599,0.8615,0.9045,0.8932,0.9032,0.8864,lda,lda,lda,0.0,0.032,1.6477,2.4188,5.7547,3.5477,5.0649000000000015,11.633200000000002,42,49,49,0.9045,0.8932,0.0,0.0,0.04459999999999997,0.03169999999999995,9.8212,20.245800000000003,0.48509814381254374,0.4666666666666667
11,12,0.8599,0.8449,0.9172,0.8765,0.9185,0.8825,pca,pca,pca,0.0,0.038,2.3421,2.538,7.3344,4.218399999999999,6.6434000000000015,12.969199999999994,56,37,57,0.9185,0.8825,0.0,0.0,0.058599999999999985,0.03759999999999997,12.2145,23.830999999999996,0.5125466828920314,0.5
11,13,0.8573,0.8675,0.879,0.9073,0.8815,0.9047,pca,pca,lda,0.0026000000000000467,0.037,0.8417000000000001,1.9751,4.969800000000001,3.2661,4.6474,9.3597,24,43,54,0.8815,0.9047,0.0,0.0026000000000000467,0.0242,0.0371999999999999,7.786600000000002,17.2732,0.4507908204617559,0.4033333333333333
11,14,0.8522,0.8539,0.8867,0.8923,0.8675,0.8979,pca,lda,pca,0.0,0.044,1.1348999999999998,1.9797,6.290699999999998,3.2299999999999986,4.711600000000002,9.851399999999996,35,42,64,0.8675,0.8979,0.019199999999999995,0.0,0.015300000000000091,0.04400000000000004,9.405299999999999,17.792999999999996,0.5285955150902041,0.47
11,15,0.8408,0.8632,0.8854,0.9038,0.8917,0.8992,lda,pca,lda,0.0,0.041,1.9837000000000005,3.0349,5.002000000000002,3.980100000000002,6.066300000000001,11.912799999999995,49,51,42,0.8854,0.9038,0.006300000000000083,0.0,0.04459999999999997,0.04060000000000008,10.020600000000002,21.959199999999996,0.4563280993843129,0.47333333333333333
11,16,0.9045,0.85,0.9045,0.8932,0.9108,0.8919,lda,pca,lda,0.0,0.043,0.9651,4.669699999999999,4.0479,3.9004000000000008,5.767299999999999,11.702800000000002,24,79,34,0.9045,0.8932,0.006300000000000083,0.0,0.0,0.043200000000000016,9.682699999999999,21.3705,0.4530871996443695,0.45666666666666667
11,17,0.8612,0.8632,0.9108,0.9042,0.8968,0.8889,lda,lda,lda,0.0,0.041,1.2797,3.655600000000001,3.8642,3.2661999999999995,5.320100000000001,11.164600000000002,36,71,38,0.9108,0.9042,0.0,0.0,0.04960000000000009,0.041000000000000036,8.799500000000002,19.7509,0.4455240014379092,0.48333333333333334
11,18,0.8599,0.8427,0.9121,0.8897,0.8917,0.8902,pca,lda,pca,0.0,0.047,1.4856999999999998,2.2133000000000003,6.9117000000000015,3.659,5.1961,12.583200000000005,37,42,55,0.8917,0.8902,0.020399999999999974,0.0,0.03180000000000005,0.04749999999999999,10.610700000000001,21.438300000000005,0.49494129665132025,0.44666666666666666
11,19,0.9032,0.8397,0.9236,0.8885,0.9108,0.8718,pca,lda,lda,0.016699999999999937,0.032,1.1991999999999998,1.4762000000000002,6.5977000000000015,4.0107,5.5035,12.136,29,29,55,0.9108,0.8718,0.012799999999999923,0.016699999999999937,0.007600000000000051,0.03210000000000002,9.273100000000001,21.650199999999998,0.4283147499792151,0.37666666666666665
